T_star,T_k,Var_star,Var_k,PT_star,PT_k,PoR,VarRed,PTgain
2879.0,2905.635,200110.996975,186547.76455000002,3614.8704781340766,3616.129837818273,0.0092514762070164,0.06777854605708866,-0.0003483830725924725
3258.0399999999995,3678.28,462864.42650000006,210711.31295,4377.201610188476,4433.389317003521,0.1289855250395946,0.5447666727311136,-0.01283644479254997
2304.5999999999995,2393.6499999999996,269765.7013,266520.972,3158.996121164142,3242.8922582845835,0.03864011108218355,0.012027953458737195,-0.0265578474624794
1205.365,1282.3899999999999,61514.08462499999,66633.67395,1613.358444613226,1707.0220613784934,0.06390180567711844,-0.08322629453416841,-0.05805505718707258
2601.3549999999996,2723.53,172759.10882500003,127297.84750000002,3285.08774563836,3310.4466531810012,0.0469659081517135,0.26314827411532293,-0.007719400364970597
1106.685,1171.8649999999998,129845.88744999998,115167.25434999997,1699.446518308068,1730.1171557974126,0.058896614664515956,0.11304657689410713,-0.018047427299965575
2528.9649999999997,2641.61,204298.69345000002,189813.91872500003,3272.495343659918,3358.297665177669,0.04454193711656763,0.07089998707478273,-0.02621923410341377
1569.215,1746.275,124523.81997500002,118198.99764999999,2149.7014941993475,2311.827334108738,0.11283348680709793,0.05079206794547286,-0.07541783840540794
2527.1,2794.525,1006204.36995,277680.41352500004,4177.195203372808,3661.3641667483585,0.10582287998100597,0.7240317953113258,0.12348741476288917
1805.8900000000003,1877.3799999999999,178237.3082,184567.07875,2500.378741393196,2584.092904420507,0.039587128784144957,-0.035513162838485934,-0.03348059301634673
1526.635,1594.4600000000003,100917.30970000001,113454.01255000001,2049.2101266382115,2148.5442844826175,0.044427777432064816,-0.12422747779611099,-0.04847436412358873
1555.435,1555.435,131175.28084999998,131175.28084999998,2151.2232084785846,2151.2232084785846,0.0,0.0,0.0
817.695,1035.925,62077.930175,54650.04662500001,1227.554037965255,1420.4823980804629,0.2668843517448436,0.11965417547042101,-0.157164861300117
2240.6150000000002,2358.24,159167.950575,104234.019,2896.901868263197,2889.3330815445393,0.05249674754475871,0.34513186465333745,0.002612717676624406
291.97,317.90999999999997,10209.008625000002,11920.875525000001,458.18020595759344,497.51564354311955,0.08884474432304668,-0.16768199174677445,-0.08585145554971176
1127.735,1154.98,126854.87037499998,127736.11562499999,1713.6295729450899,1742.9061197498718,0.024159044456366185,-0.006946877541200713,-0.017084524722846862
1123.68,1136.335,133849.9338,141049.40982499998,1725.511593646549,1754.140170925022,0.011262103089847618,-0.05378766967309456,-0.016591356084702805
2940.0799999999995,3214.28,441097.73354999995,277423.77859999996,4032.609859742807,4080.7185035800667,0.09326276836004489,0.3710605212879584,-0.011929902844687227
2588.54,2598.04,725647.14265,432205.3684250001,3989.832014245948,3679.5012947730775,0.0036700224837166897,0.4043863153010927,0.07778039736129615
855.3100000000001,887.245,60738.38969999999,65311.678199999995,1260.7228771856446,1307.6436607984795,0.037337339678011415,-0.0752948591918301,-0.037217365102137065
1460.275,1599.66,145093.183725,98126.59874999999,2086.8735816209955,2114.958970872705,0.09545119926041326,0.32369945830134494,-0.01345811720415464
1659.885,1683.3300000000002,105612.83742499999,133682.24060000002,2194.479218443284,2284.7844746858364,0.014124472478515176,-0.2657764326702543,-0.04115111024228014
2587.9149999999995,2627.31,273189.351225,255278.15929999997,3447.7156828030725,3458.4472215343158,0.015222679261104188,0.06556328731220673,-0.0031126518885450268
1259.8300000000002,1266.58,122101.15487500001,130374.541725,1834.6419497893394,1860.5469765832045,0.005357865743790648,-0.06775846517151951,-0.014119935934550938
2328.8599999999997,2554.25,446089.293825,302370.186925,3427.554125461129,3458.8058496155572,0.09678125778277799,0.32217564709450475,-0.009117791582714635
1939.9849999999997,1985.865,230605.58852499997,170104.96180000002,2729.9372059519565,2664.3252267302373,0.023649667394335702,0.262355423005896,0.024034244845877174
1645.505,1963.5400000000002,168921.24115,132650.565725,2321.6004825931977,2562.6691572908076,0.19327501283800416,0.21471944663721765,-0.10383727799209415
1981.27,2543.285,178787.14500000002,210939.382125,2676.8291161422767,3298.802863134157,0.2836640134862991,-0.17983528471803711,-0.23235467039757865
1499.6450000000002,1523.005,114746.70475,102146.04785000002,2056.876955043067,2048.7518584150516,0.015577019894708345,0.10981279965688939,0.003950210345881032
1606.7649999999999,1733.48,399346.624125,169277.95544999998,2646.3042962980535,2410.2889681709207,0.07886343055767343,0.5761127170640259,0.0891867683007194
2454.59,2476.105,699690.41835,416006.37224999996,3830.591367846544,3537.106245742815,0.008765211298017132,0.4054422336795461,0.07661613936876757
2034.355,2154.7200000000003,294411.225125,304251.88905,2926.9266416450155,3062.0860882281895,0.05916617306222377,-0.03342489377170277,-0.046177941278094554
1702.1849999999997,1838.765,125494.71220000001,148299.5357,2284.9300802718153,2472.2492153460435,0.08023804698079257,-0.1817193975763387,-0.08198024818857681
2666.805,2703.915,158154.26937500003,194935.52182500003,3320.9987073875627,3430.207224553241,0.013915528131978203,-0.23256566259863565,-0.03288423958815273
1587.415,1684.585,229765.00665,208094.73582499998,2375.926161696565,2434.9912616415495,0.06121272635070229,0.09431493133334368,-0.024859821360276688
434.71500000000003,434.71500000000003,21839.938249999996,21839.938249999996,677.8187204630078,677.8187204630078,0.0,0.0,0.0
2689.8149999999996,2692.535,258785.86729999998,259044.46477499997,3526.6429551738706,3529.7809601531494,0.0010112219613617498,-0.0009992720147280476,-0.0008897994549391706
1438.0749999999998,1473.285,112263.64657499998,142826.2402,1989.2448778263506,2094.9693062497277,0.02448411939572016,-0.27223945201692756,-0.05314802094094228
975.5799999999999,991.8199999999999,105801.42974999998,98509.36897500002,1510.6513166852094,1508.1230265072772,0.016646507718485425,0.06892213831354166,0.0016736424547525127
2483.075,2483.075,292171.55225,292171.55225,3372.2451325827956,3372.2451325827956,0.0,0.0,0.0
770.2850000000001,938.88,54930.078100000006,28186.551375000003,1155.826391539939,1215.0565969167815,0.21887353382189695,0.48686489533682276,-0.05124489785868997
1581.89,1600.8500000000001,129222.4663,118941.797875,2173.226811275484,2168.176606633866,0.011985662719911016,0.07955790288921294,0.0023238276904259986
1834.1799999999998,1922.935,117273.974,137782.026075,2397.5149851494666,2533.542572103067,0.04838947104428143,-0.174873003578782,-0.05673690792181642
1929.3400000000001,1929.9250000000002,144086.67184999998,144202.11672499997,2553.7614411700615,2554.596540019848,0.000303212497538037,-0.000801218277289184,-0.0003270073846066734
798.095,872.7950000000001,49717.686275,49677.16109999998,1164.8882687527225,1239.4387506158089,0.09359787995163489,0.0008151058111566245,-0.06399796775609182
492.58,492.58,29391.733174999998,29391.733174999998,774.599085816686,774.599085816686,0.0,0.0,0.0
1242.815,1290.53,112139.14347499999,118828.82107500001,1793.679162677095,1857.5871051926579,0.038392681131141734,-0.059655151561697206,-0.03562952831552058
1267.775,1326.77,117445.87965,132714.60864999998,1831.5227152768703,1926.043767882523,0.04653428250280995,-0.13000651062005963,-0.051607906261410534
1590.72,1590.72,482635.87840000005,482635.87840000005,2733.5344,2733.5344,0.0,0.0,0.0
2493.14,2716.54,242652.147775,282010.4761,3303.4626383255277,3590.1116333469754,0.08960587853068824,-0.1622006179870914,-0.08677228302686223
2006.15,2139.17,403167.4293,233410.04895,3050.6504274156778,2933.911107348754,0.06630610871569921,0.42105926226417023,0.038267026276694135
1970.625,2204.9750000000004,263621.97555,183595.03950000004,2815.2359497204548,2909.8244639020363,0.11892166190929292,0.3035670144078014,-0.033598787409266334
